Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,Processed_Summary,Processed_Text,POS_Tags_Summary,POS_Tags_Text,Sentiment_Summary,Sentiment_Text
11,B0001PB9FE,A3HDKO7OW0QNK4,Canadian Fan,1,1,5,1107820800,The Best Hot Sauce in the World,"I don't know if it's the cactus or the tequila or just the unique combination of ingredients, but the flavour of this hot sauce makes it one of a kind!  We picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away!  When we realized that we simply couldn't find it anywhere in our city we were bummed.<br /><br />Now, because of the magic of the internet, we have a case of the sauce and are ecstatic because of it.<br /><br />If you love hot sauce..I mean really love hot sauce, but don't want a sauce that tastelessly burns your throat, grab a bottle of Tequila Picante Gourmet de Inclan.  Just realize that once you taste it, you will never want to use any other sauce.<br /><br />Thank you for the personal, incredible service!",best hot sauce world,dont know cactus tequila unique combination ingredients flavour hot sauce makes one kind picked bottle trip brought back home us totally blown away realized simply couldnt find anywhere city bummedbr br magic internet case sauce ecstatic itbr br love hot saucei mean really love hot sauce dont want sauce tastelessly burns throat grab bottle tequila picante gourmet de inclan realize taste never want use saucebr br thank personal incredible service,"[('best', 'JJS'), ('hot', 'JJ'), ('sauce', 'NN'), ('world', 'NN')]","[('dont', 'NN'), ('know', 'VBP'), ('cactus', 'NN'), ('tequila', 'NN'), ('unique', 'JJ'), ('combination', 'NN'), ('ingredients', 'NNS'), ('flavour', 'VBP'), ('hot', 'JJ'), ('sauce', 'NN'), ('makes', 'VBZ'), ('one', 'CD'), ('kind', 'NN'), ('picked', 'VBD'), ('bottle', 'JJ'), ('trip', 'NN'), ('brought', 'VBD'), ('back', 'RP'), ('home', 'NN'), ('us', 'PRP'), ('totally', 'RB'), ('blown', 'VB'), ('away', 'RB'), ('realized', 'VBN'), ('simply', 'RB'), ('couldnt', 'JJ'), ('find', 'VBP'), ('anywhere', 'JJ'), ('city', 'NN'), ('bummedbr', 'NN'), ('br', 'NN'), ('magic', 'JJ'), ('internet', 'NN'), ('case', 'NN'), ('sauce', 'VB'), ('ecstatic', 'JJ'), ('itbr', 'NN'), ('br', 'NN'), ('love', 'VB'), ('hot', 'JJ'), ('saucei', 'JJ'), ('mean', 'NN'), ('really', 'RB'), ('love', 'VB'), ('hot', 'JJ'), ('sauce', 'NNS'), ('dont', 'VBP'), ('want', 'VBP'), ('sauce', 'NN'), ('tastelessly', 'RB'), ('burns', 'VBZ'), ('throat', 'NN'), ('grab', 'NN'), ('bottle', 'NN'), ('tequila', 'NN'), ('picante', 'NN'), ('gourmet', 'FW'), ('de', 'FW'), ('inclan', 'FW'), ('realize', 'VB'), ('taste', 'NN'), ('never', 'RB'), ('want', 'VBP'), ('use', 'NN'), ('saucebr', 'NN'), ('br', 'NN'), ('thank', 'VBD'), ('personal', 'JJ'), ('incredible', 'JJ'), ('service', 'NN')]",0.6369,0.9746
12,B0009XLVG0,A2725IB4YY9JEB,"A Poeng ""SparkyGoHome""",4,4,5,1282867200,"My cats LOVE this ""diet"" food better than their regular food","One of my boys needed to lose some weight and the other didn't.  I put this food on the floor for the chubby guy, and the protein-rich, no by-product food up higher where only my skinny boy can jump.  The higher food sits going stale.  They both really go for this food.  And my chubby boy has been losing about an ounce a week.",cats love diet food better regular food,one boys needed lose weight didnt put food floor chubby guy proteinrich byproduct food higher skinny boy jump higher food sits going stale really go food chubby boy losing ounce week,"[('cats', 'NNS'), ('love', 'VBP'), ('diet', 'JJ'), ('food', 'NN'), ('better', 'RBR'), ('regular', 'JJ'), ('food', 'NN')]","[('one', 'CD'), ('boys', 'VBZ'), ('needed', 'VBN'), ('lose', 'JJ'), ('weight', 'NN'), ('didnt', 'NN'), ('put', 'VBD'), ('food', 'NN'), ('floor', 'NN'), ('chubby', 'NN'), ('guy', 'NN'), ('proteinrich', 'JJ'), ('byproduct', 'NN'), ('food', 'NN'), ('higher', 'JJR'), ('skinny', 'NN'), ('boy', 'IN'), ('jump', 'NN'), ('higher', 'JJR'), ('food', 'NN'), ('sits', 'NNS'), ('going', 'VBG'), ('stale', 'NN'), ('really', 'RB'), ('go', 'VB'), ('food', 'NN'), ('chubby', 'NN'), ('boy', 'NN'), ('losing', 'VBG'), ('ounce', 'NN'), ('week', 'NN')]",0.8331,-0.7579
13,B0009XLVG0,A327PCT23YH90,LT,1,1,1,1339545600,My Cats Are Not Fans of the New Food,"My cats have been happily eating Felidae Platinum for more than two years. I just got a new bag and the shape of the food is different. They tried the new food when I first put it in their bowls and now the bowls sit full and the kitties will not touch the food. I've noticed similar reviews related to formula changes in the past. Unfortunately, I now need to find a new food that my cats will eat.",cats fans new food,cats happily eating felidae platinum two years got new bag shape food different tried new food first put bowls bowls sit full kitties touch food ive noticed similar reviews related formula changes past unfortunately need find new food cats eat,"[('cats', 'NNS'), ('fans', 'VBP'), ('new', 'JJ'), ('food', 'NN')]","[('cats', 'NNS'), ('happily', 'RB'), ('eating', 'VBG'), ('felidae', 'JJ'), ('platinum', 'NN'), ('two', 'CD'), ('years', 'NNS'), ('got', 'VBD'), ('new', 'JJ'), ('bag', 'NN'), ('shape', 'NN'), ('food', 'NN'), ('different', 'JJ'), ('tried', 'VBD'), ('new', 'JJ'), ('food', 'NN'), ('first', 'RB'), ('put', 'VBD'), ('bowls', 'RP'), ('bowls', 'JJ'), ('sit', 'NN'), ('full', 'JJ'), ('kitties', 'NNS'), ('touch', 'JJ'), ('food', 'NN'), ('ive', 'NN'), ('noticed', 'VBD'), ('similar', 'JJ'), ('reviews', 'NNS'), ('related', 'VBN'), ('formula', 'NN'), ('changes', 'NNS'), ('past', 'VBP'), ('unfortunately', 'RB'), ('need', 'VBP'), ('find', 'VBP'), ('new', 'JJ'), ('food', 'NN'), ('cats', 'NNS'), ('eat', 'VBP')]",0.0,0.296
14,B001GVISJM,A18ECVX2RJ7HUE,"willie ""roadie""",2,2,4,1288915200,fresh and greasy!,good flavor! these came securely packed... they were fresh and delicious! i love these Twizzlers!,fresh greasy,good flavor came securely packed fresh delicious love twizzlers,"[('fresh', 'JJ'), ('greasy', 'NN')]","[('good', 'JJ'), ('flavor', 'NN'), ('came', 'VBD'), ('securely', 'RB'), ('packed', 'VBN'), ('fresh', 'JJ'), ('delicious', 'JJ'), ('love', 'NN'), ('twizzlers', 'NNS')]",0.3802,0.9466
15,B001GVISJM,A2MUGFV2TDQ47K,"Lynrie ""Oh HELL no""",4,5,5,1268352000,Strawberry Twizzlers - Yummy,The Strawberry Twizzlers are my guilty pleasure - yummy. Six pounds will be around for a while with my son and I.,strawberry twizzlers yummy,strawberry twizzlers guilty pleasure yummy six pounds around son,"[('strawberry', 'NN'), ('twizzlers', 'NNS'), ('yummy', 'VBP')]","[('strawberry', 'NN'), ('twizzlers', 'NNS'), ('guilty', 'JJ'), ('pleasure', 'NN'), ('yummy', 'NN'), ('six', 'CD'), ('pounds', 'NNS'), ('around', 'IN'), ('son', 'NN')]",0.5267,0.6486
16,B001GVISJM,A1CZX3CP8IKQIJ,Brian A. Lee,4,5,5,1262044800,"Lots of twizzlers, just what you expect.",My daughter loves twizzlers and this shipment of six pounds really hit the spot. It's exactly what you would expect...six packages of strawberry twizzlers.,lots twizzlers expect,daughter loves twizzlers shipment six pounds really hit spot exactly would expectsix packages strawberry twizzlers,"[('lots', 'NNS'), ('twizzlers', 'NNS'), ('expect', 'VBP')]","[('daughter', 'NN'), ('loves', 'VBZ'), ('twizzlers', 'NNS'), ('shipment', 'JJ'), ('six', 'CD'), ('pounds', 'NNS'), ('really', 'RB'), ('hit', 'VBD'), ('spot', 'NN'), ('exactly', 'RB'), ('would', 'MD'), ('expectsix', 'VB'), ('packages', 'NNS'), ('strawberry', 'VBP'), ('twizzlers', 'NNS')]",0.0,0.5719
17,B001GVISJM,A3KLWF6WQ5BNYO,Erica Neathery,0,0,2,1348099200,poor taste,I love eating them and they are good for watching TV and looking at movies! It is not too sweet. I like to transfer them to a zip lock baggie so they stay fresh so I can take my time eating them.,poor taste,love eating good watching tv looking movies sweet like transfer zip lock baggie stay fresh take time eating,"[('poor', 'JJ'), ('taste', 'NN')]","[('love', 'IN'), ('eating', 'VBG'), ('good', 'JJ'), ('watching', 'VBG'), ('tv', 'NN'), ('looking', 'VBG'), ('movies', 'NNS'), ('sweet', 'VBP'), ('like', 'IN'), ('transfer', 'NN'), ('zip', 'NN'), ('lock', 'NN'), ('baggie', 'NN'), ('stay', 'NN'), ('fresh', 'JJ'), ('take', 'NN'), ('time', 'NN'), ('eating', 'VBG')]",-0.4767,0.7481
18,B001GVISJM,AFKW14U97Z6QO,Becca,0,0,5,1345075200,Love it!,I am very satisfied with my Twizzler purchase.  I shared these with others and we have all enjoyed them.  I will definitely be ordering more.,love,satisfied twizzler purchase shared others enjoyed definitely ordering,"[('love', 'NN')]","[('satisfied', 'JJ'), ('twizzler', 'NN'), ('purchase', 'NN'), ('shared', 'VBD'), ('others', 'NNS'), ('enjoyed', 'RBR'), ('definitely', 'RB'), ('ordering', 'VBG')]",0.6696,0.8883
19,B001GVISJM,A2A9X58G2GTBLP,Wolfee1,0,0,5,1324598400,GREAT SWEET CANDY!,"Twizzlers, Strawberry my childhood favorite candy, made in Lancaster Pennsylvania by Y & S Candies, Inc. one of the oldest confectionery Firms in the United States, now a Subsidiary of the Hershey Company, the Company was established in 1845 as Young and Smylie, they also make Apple Licorice Twists, Green Color and Blue Raspberry Licorice Twists, I like them all<br /><br />I keep it in a dry cool place because is not recommended it to put it in the fridge. According to the Guinness Book of Records, the longest Licorice Twist ever made measured 1.200 Feet (370 M) and weighted 100 Pounds (45 Kg) and was made by Y & S Candies, Inc. This Record-Breaking Twist became a Guinness World Record on July 19, 1998. This Product is Kosher! Thank You",great sweet candy,twizzlers strawberry childhood favorite candy made lancaster pennsylvania candies inc one oldest confectionery firms united states subsidiary hershey company company established young smylie also make apple licorice twists green color blue raspberry licorice twists like allbr br keep dry cool place recommended put fridge according guinness book records longest licorice twist ever made measured feet weighted pounds kg made candies inc recordbreaking twist became guinness world record july product kosher thank,"[('great', 'JJ'), ('sweet', 'JJ'), ('candy', 'NN')]","[('twizzlers', 'NNS'), ('strawberry', 'VBP'), ('childhood', 'NN'), ('favorite', 'NN'), ('candy', 'NN'), ('made', 'VBD'), ('lancaster', 'RBR'), ('pennsylvania', 'JJ'), ('candies', 'NNS'), ('inc', 'VBP'), ('one', 'CD'), ('oldest', 'JJS'), ('confectionery', 'NN'), ('firms', 'NNS'), ('united', 'JJ'), ('states', 'NNS'), ('subsidiary', 'NN'), ('hershey', 'VBP'), ('company', 'NN'), ('company', 'NN'), ('established', 'VBD'), ('young', 'JJ'), ('smylie', 'NN'), ('also', 'RB'), ('make', 'VBP'), ('apple', 'NN'), ('licorice', 'NN'), ('twists', 'NNS'), ('green', 'JJ'), ('color', 'NN'), ('blue', 'NN'), ('raspberry', 'NN'), ('licorice', 'JJ'), ('twists', 'NNS'), ('like', 'IN'), ('allbr', 'NN'), ('br', 'NN'), ('keep', 'VB'), ('dry', 'JJ'), ('cool', 'JJ'), ('place', 'NN'), ('recommended', 'VBD'), ('put', 'NN'), ('fridge', 'NN'), ('according', 'VBG'), ('guinness', 'JJ'), ('book', 'NN'), ('records', 'NNS'), ('longest', 'JJS'), ('licorice', 'NN'), ('twist', 'NN'), ('ever', 'RB'), ('made', 'VBD'), ('measured', 'JJ'), ('feet', 'NNS'), ('weighted', 'VBD'), ('pounds', 'NNS'), ('kg', 'FW'), ('made', 'VBN'), ('candies', 'NNS'), ('inc', 'VBP'), ('recordbreaking', 'VBG'), ('twist', 'NN'), ('became', 'VBD'), ('guinness', 'JJ'), ('world', 'NN'), ('record', 'NN'), ('july', 'NN'), ('product', 'NN'), ('kosher', 'NN'), ('thank', 'NN')]",0.8122,0.8957
20,B001GVISJM,A3IV7CL2C13K2U,Greg,0,0,5,1318032000,Home delivered twizlers,Candy was delivered very fast and was purchased at a reasonable price.  I was home bound and unable to get to a store so this was perfect for me.,home delivered twizlers,candy delivered fast purchased reasonable price home bound unable get store perfect,"[('home', 'NN'), ('delivered', 'VBD'), ('twizlers', 'NNS')]","[('candy', 'NN'), ('delivered', 'VBD'), ('fast', 'RB'), ('purchased', 'VBN'), ('reasonable', 'JJ'), ('price', 'NN'), ('home', 'NN'), ('bound', 'NN'), ('unable', 'JJ'), ('get', 'NN'), ('store', 'NN'), ('perfect', 'NN')]",0.0,0.6077
21,B001GVISJM,A1WO0KGLPR5PV6,mom2emma,0,0,5,1313452800,Always fresh,"My husband is a Twizzlers addict.  We've bought these many times from Amazon because we're government employees living overseas and can't get them in the country we are assigned to.  They've always been fresh and tasty, packed well and arrive in a timely manner.",always fresh,husband twizzlers addict weve bought many times amazon government employees living overseas cant get country assigned theyve always fresh tasty packed well arrive timely manner,"[('always', 'RB'), ('fresh', 'JJ')]","[('husband', 'NN'), ('twizzlers', 'NNS'), ('addict', 'VBP'), ('weve', 'VBP'), ('bought', 'VBD'), ('many', 'JJ'), ('times', 'NNS'), ('amazon', 'JJ'), ('government', 'NN'), ('employees', 'NNS'), ('living', 'VBG'), ('overseas', 'RB'), ('cant', 'JJ'), ('get', 'VB'), ('country', 'NN'), ('assigned', 'VBN'), ('theyve', 'JJ'), ('always', 'RB'), ('fresh', 'JJ'), ('tasty', 'NN'), ('packed', 'VBN'), ('well', 'RB'), ('arrive', 'JJ'), ('timely', 'JJ'), ('manner', 'NN')]",0.3182,0.6249
22,B001GVISJM,AZOF9E17RGZH8,Tammy Anderson,0,0,5,1308960000,TWIZZLERS,"I bought these for my husband who is currently overseas. He loves these, and apparently his staff likes them also.<br />There are generous amounts of Twizzlers in each 16-ounce bag, and this was well worth the price. <a href=""http://www.amazon.com/gp/product/B001GVISJM"">Twizzlers, Strawberry, 16-Ounce Bags (Pack of 6)</a>",twizzlers,bought husband currently overseas loves apparently staff likes alsobr generous amounts twizzlers ounce bag well worth price hrefhttpwwwamazoncomgpproductbgvisjmtwizzlers strawberry ounce bags pack,"[('twizzlers', 'NNS')]","[('bought', 'JJ'), ('husband', 'NN'), ('currently', 'RB'), ('overseas', 'JJ'), ('loves', 'NNS'), ('apparently', 'RB'), ('staff', 'NN'), ('likes', 'VBZ'), ('alsobr', 'RB'), ('generous', 'JJ'), ('amounts', 'NNS'), ('twizzlers', 'NNS'), ('ounce', 'NN'), ('bag', 'NN'), ('well', 'RB'), ('worth', 'JJ'), ('price', 'NN'), ('hrefhttpwwwamazoncomgpproductbgvisjmtwizzlers', 'NNS'), ('strawberry', 'VBP'), ('ounce', 'NN'), ('bags', 'NNS'), ('pack', 'NN')]",0.0,0.9153
23,B001GVISJM,ARYVQL4N737A1,Charles Brown,0,0,5,1304899200,Delicious product!,I can remember buying this candy as a kid and the quality hasn't dropped in all these years. Still a superb product you won't be disappointed with.,delicious product,remember buying candy kid quality hasnt dropped years still superb product wont disappointed,"[('delicious', 'JJ'), ('product', 'NN')]","[('remember', 'VB'), ('buying', 'NN'), ('candy', 'NN'), ('kid', 'VBP'), ('quality', 'NN'), ('hasnt', 'NN'), ('dropped', 'VBD'), ('years', 'NNS'), ('still', 'RB'), ('superb', 'VBP'), ('product', 'NN'), ('wont', 'NN'), ('disappointed', 'VBD')]",0.6114,0.7687
24,B001GVISJM,AJ613OLZZUG7V,Mare's,0,0,5,1304467200,Twizzlers,I love this candy.  After weight watchers I had to cut back but still have a craving for it.,twizzlers,love candy weight watchers cut back still craving,"[('twizzlers', 'NNS')]","[('love', 'VB'), ('candy', 'NN'), ('weight', 'NN'), ('watchers', 'NNS'), ('cut', 'VBD'), ('back', 'RP'), ('still', 'RB'), ('craving', 'VBG')]",0.0,0.2617
25,B001GVISJM,A22P2J09NJ9HKE,"S. Cabanaugh ""jilly pepper""",0,0,5,1295481600,Please sell these in Mexico!!,"I have lived out of the US for over 7 yrs now, and I so miss my Twizzlers!!  When I go back to visit or someone visits me, I always stock up.  All I can say is YUM!<br />Sell these in Mexico and you will have a faithful buyer, more often than I'm able to buy them right now.",please sell mexico,lived us yrs miss twizzlers go back visit someone visits always stock say yumbr sell mexico faithful buyer often im able buy right,"[('please', 'NN'), ('sell', 'VB'), ('mexico', 'NN')]","[('lived', 'VBD'), ('us', 'PRP'), ('yrs', 'VB'), ('miss', 'JJ'), ('twizzlers', 'NNS'), ('go', 'VBP'), ('back', 'RB'), ('visit', 'RB'), ('someone', 'NN'), ('visits', 'NNS'), ('always', 'RB'), ('stock', 'NN'), ('say', 'VBP'), ('yumbr', 'NN'), ('sell', 'VBP'), ('mexico', 'RB'), ('faithful', 'JJ'), ('buyer', 'NN'), ('often', 'RB'), ('im', 'VBZ'), ('able', 'JJ'), ('buy', 'NN'), ('right', 'NN')]",0.4374,0.3939
26,B001GVISJM,A3FONPR03H3PJS,"Deborah S. Linzer ""Cat Lady""",0,0,5,1288310400,Twizzlers - Strawberry,"Product received is as advertised.<br /><br /><a href=""http://www.amazon.com/gp/product/B001GVISJM"">Twizzlers, Strawberry, 16-Ounce Bags (Pack of 6)</a>",twizzlers strawberry,product received advertisedbr br hrefhttpwwwamazoncomgpproductbgvisjmtwizzlers strawberry ounce bags pack,"[('twizzlers', 'NNS'), ('strawberry', 'VBP')]","[('product', 'NN'), ('received', 'VBD'), ('advertisedbr', 'JJ'), ('br', 'NN'), ('hrefhttpwwwamazoncomgpproductbgvisjmtwizzlers', 'NNS'), ('strawberry', 'VBP'), ('ounce', 'NN'), ('bags', 'NNS'), ('pack', 'NN')]",0.0,0.0
